#mpa_v30_CHOCOPhlAn_201901
#/research/labs/surgresearch/jsung/m184679/tools/miniconda2/envs/gmwi2_env/bin/metaphlan Subj004_time1_S4_QC_1P.fastq.gz,Subj004_time1_S4_QC_2P.fastq.gz --index mpa_v30_CHOCOPhlAn_201901 --force --no_map --nproc 10 --input_type fastq -o Subj004_time1_S4_metaphlan.txt --add_viruses --unknown_estimation
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNKNOWN	-1	45.69377	
k__Bacteria	2	53.28836768819546	
k__Viruses	10239	0.8235214682015191	
k__Eukaryota	2759	0.1943511533855343	
k__Bacteria|p__Bacteroidetes	2|976	48.8993920914967	
k__Bacteria|p__Firmicutes	2|1239	4.162572903487539	
k__Viruses|p__Viruses_unclassified	10239|	0.8235214682015191	
k__Bacteria|p__Actinobacteria	2|201174	0.22640269321121395	
k__Eukaryota|p__Ascomycota	2759|4890	0.1943511533855343	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	48.8993920914967	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	3.5259789263635732	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0.8235214682015191	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.5975477942458505	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.22640269321121395	
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	2759|4890|4891	0.1943511533855343	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	0.039046182878115336	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	48.8993920914967	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	3.5259789263635732	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.5975477942458505	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.22640269321121395	
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	2759|4890|4891|4892	0.1943511533855343	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.039046182878115336	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	47.93800881543095	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	3.5259789263635732	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae	10239|||28883|10699	0.7913993302704965	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	0.7629591550642809	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.5573123048238816	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	0.22640269321121395	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	0.19842955162495915	
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae	2759|4890|4891|4892|766764	0.1943511533855343	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	0.04023548942196892	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	0.03421292797387018	
