#mpa_v31_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	Subj054_time3_S43_metaphlan3_new	Subj054_time2_S42_metaphlan3_new	Subj054_time1_S41_metaphlan3_new	Subj053_time2_S40_metaphlan3_new	Subj053_time1_S39_metaphlan3	Subj052_time2_S38_metaphlan3	Subj052_time1_S37_metaphlan3	Subj049_time1_S36_metaphlan3	Subj045_time1_S35_metaphlan3	Subj044_time1_S34_metaphlan3	Subj043_time2_S33_metaphlan3	Subj043_time1_S32_metaphlan3	Subj042_time1_S31_metaphlan3	Subj041_time1_S30_metaphlan3	Subj040_time1_S29_metaphlan3	Subj039_time2_S28_metaphlan3	Subj039_time1_S27_metaphlan3	Subj035_time1_S26_metaphlan3	Subj034_time2_S25_metaphlan3	Subj034_time1_S24_metaphlan3	Subj032_time2_S23_metaphlan3	Subj032_time1_S22_metaphlan3	Subj031_time1_S21_metaphlan3	Subj030_time3_S20_metaphlan3	Subj030_time2_S19_metaphlan3	Subj030_time1_S18_metaphlan3	Subj021_time2_S17_metaphlan3	Subj021_time1_S16_metaphlan3	Subj020_time1_S15_metaphlan3	Subj017_time1_ReExtract_S44_metaphlan3	Subj016_time2_S14_metaphlan3	Subj016_time1_S13_metaphlan3	Subj015_time2_S12_metaphlan3	Subj014_time1_S11_metaphlan3	Subj013_time1_S10_metaphlan3	Subj011_time2_S9_metaphlan3	Subj011_time1_S8_metaphlan3	Subj008_time2_S7_metaphlan3	Subj008_time1_S6_metaphlan3	Subj007_time1_S5_metaphlan3	Subj004_time1_S4_metaphlan3	Subj003_time1_S3_metaphlan3	Subj001_time2_S2_metaphlan3	Subj001_time1_S1_metaphlan3
k__Bacteria	2	34.14358029722377	42.91810383639579	41.57147032494771	47.47327005470381	22.39861795566738	30.07374387980757	50.84238863361255	46.87815747898431	25.26740932957537	22.644447994607443	37.50730474519118	45.95395370402309	7.838443598370879	7.223530921542469	12.818923611640956	30.36748463212472	20.6252641514092	39.07268920243276	65.75106895982465	55.19547553899792	13.25091038396294	55.27048804767815	51.5050082894774	1.9634169833893984	61.83518022896921	73.54414764623183	17.19050650903416	2.8174172523291605	52.48015560884817	21.17435528183939	52.0570869540888	21.84519628166594	56.32564699208959	32.35150741191665	32.828843648361605	64.21506558631599	53.66198935092156	19.3620556726868	31.065761571872542	42.32085274492776	48.17195148137031	40.30153460736385	30.95980999829875	28.81090303870826
k__Bacteria|p__Actinobacteria	2|201174	1.5677767310544477	0.5457358381368843	0.8808033842415326	0	0.6042293229537526	0.3585328645912012	0.0198813186392228	0.1219335751906163	2.512562032417434	0.099066589716965	0	0.0381784682497574	0.4407807853539134	0.1117048580953643	3.276932642875773	0	0	0.4893727416588554	0.225208315351997	6.534668322933767	0	0	5.845862484288553	0.1122985191420996	0.0443269642873339	0.0282477629857895	0.0065317718165786	0.0217150145677417	0.0258630018868859	12.1415094535905	0.0151010603757034	0.5510012425329767	0.303146872701735	2.7033635014470048	0.9868105222938244	0	0.0221800541031619	1.1105024263291634	1.6306453128910017	4.9393047113317765	0.0302622534183158	18.437323028510438	0.0174247314302057	0.041836028090475
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	1.3017923778030027	0.3049539360440979	0.6102947329636003	0	0.0247416401692166	0.3408080417235422	0.0198813186392228	0	2.166938702796246	0.0854518874997212	0	0.0207748988017175	0.3530027490548804	0	1.6838289941366926	0	0	0.0255716260248432	0.0691703029160182	1.7797524374083815	0	0	5.166634346353738	0.1122985191420996	0	0	0.0065317718165786	0.0041358542743346	0.0033429592431972	11.63134887163366	0	0	0.0450574817136435	0.0333740502289854	0.0096314578080368	0	0.0221800541031619	0.1971890465741845	0.3035069738457744	3.2560114655694234	0	13.452903351954424	0.0174247314302057	0.0048397513048203
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.0274757150463326	0.0419068942889592	0.0427886282485403	0	0.0197419261861024	0	0	0	0	0	0	0.0172321459215817	0.1387803729536411	0	0.0031796161716692	0	0	0.0255716260248432	0.0691703029160182	0.5186249984134176	0	0	0.0041477409327733	0.0035492090181623	0	0	0.0010597678557121	0	0	0	0	0	0	0	0.0096314578080368	0	0	0.1140188509237193	0.1387490528914501	0.0234432414461422	0	0.0440850767921029	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049	0.0274757150463326	0.0419068942889592	0.0427886282485403	0	0.0197419261861024	0	0	0	0	0	0	0.0172321459215817	0.1387803729536411	0	0.0031796161716692	0	0	0.0255716260248432	0.0691703029160182	0.5186249984134176	0	0	0.0041477409327733	0.0035492090181623	0	0	0.0010597678557121	0	0	0	0	0	0	0	0.0096314578080368	0	0	0.1140188509237193	0.1387490528914501	0.0234432414461422	0	0.0440850767921029	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum	2|201174|1760|2037|2049|76833	0	0	0	0	0	0	0	0	0	0	0	0	0.0055022225257926	0	0	0	0	0	0.0019575821863653	0.0002995683882713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_sp_oral_taxon_183	2|201174|1760|2037|2049|76833|712888	0	0	0	0	0	0	0	0	0	0	0	0	0.0055022225257926	0	0	0	0	0	0.0019575821863653	0.0002995683882713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	2|201174|1760|2037|2049|1654	0.0274757150463326	0.0419068942889592	0.0427886282485403	0	0.0197419261861024	0	0	0	0	0	0	0.0172321459215817	0.1332781504278483	0	0.0031796161716692	0	0	0.0255716260248432	0.0672199177229851	0.5183254300251462	0	0	0.0041477409327733	0.0035492090181623	0	0	0.0010597678557121	0	0	0	0	0	0	0	0.0096314578080368	0	0	0.1140188509237193	0.1387490528914501	0.0234432414461422	0	0.0440850767921029	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_georgiae	2|201174|1760|2037|2049|1654|52768	0	0	0	0	0	0	0	0	0	0	0	0	7.537291131222869e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	2|201174|1760|2037|2049|1654|55565	0	0	0	0	0.0182524280619663	0	0	0	0	0	0	0	0.0218518632046036	0	0	0	0	0	0.0009643971065182	0.0793190521389609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0026895330837279	0.0088099822454425	0	0	0	0	0
